Candidate: 0x48, Correlation: -0.0469091276506903
Candidate: 0x98, Correlation: -0.046887072781922785
Candidate: 0x70, Correlation: -0.04613658996259075
Candidate: 0xba, Correlation: -0.04610376673326198
Candidate: 0xe4, Correlation: -0.046096240578981415
Candidate: 0x5e, Correlation: -0.0460745157213989
Candidate: 0x6, Correlation: -0.04605867888668978
Candidate: 0x59, Correlation: -0.0460225431877758
Candidate: 0xcc, Correlation: -0.045965009938123434
Candidate: 0x6d, Correlation: -0.045692614779994103
Candidate: 0xe9, Correlation: -0.043990518658876446
Candidate: 0x45, Correlation: -0.043711093138406695
Candidate: 0xed, Correlation: -0.043368072870690666
Candidate: 0xe6, Correlation: -0.04323833955554167
Candidate: 0x65, Correlation: -0.04275292463128167
Candidate: 0x71, Correlation: -0.04260258061323591
Candidate: 0x99, Correlation: -0.04245326797850908
Candidate: 0xe8, Correlation: -0.04114160775560303
