Candidate: 0x45, Correlation: -0.09892745387621497
Candidate: 0x93, Correlation: -0.0973403465193426
Candidate: 0xa5, Correlation: -0.09707160659564712
Candidate: 0xc5, Correlation: -0.09702602896853488
Candidate: 0x53, Correlation: -0.09652757476841146
Candidate: 0x43, Correlation: -0.09589807530394015
Candidate: 0xc9, Correlation: -0.09587846428101586
Candidate: 0x4f, Correlation: -0.09558808575685229
Candidate: 0xb3, Correlation: -0.09551657991452323
Candidate: 0xce, Correlation: -0.09340050981515884
Candidate: 0x95, Correlation: -0.08896238621885402
Candidate: 0xa9, Correlation: -0.08720679825441062
Candidate: 0xa7, Correlation: -0.08689293395052915
Candidate: 0x47, Correlation: -0.08478209083710816
Candidate: 0xa3, Correlation: -0.08466049528476426
Candidate: 0x49, Correlation: -0.08298550055476696
Candidate: 0xaf, Correlation: -0.07897923897843012
