Candidate: 0xcb, Correlation: -0.12756105375635823
Candidate: 0x42, Correlation: -0.12354416168131183
Candidate: 0xd3, Correlation: -0.12240368159600021
Candidate: 0xfe, Correlation: -0.12209752518575863
Candidate: 0x3, Correlation: -0.12199512215029937
Candidate: 0xc8, Correlation: -0.12055957461500474
Candidate: 0x48, Correlation: -0.11711403307524434
Candidate: 0xd0, Correlation: -0.1163356747082838
Candidate: 0x2e, Correlation: -0.11478234219801331
Candidate: 0xa, Correlation: -0.11444296733553247
Candidate: 0xb, Correlation: -0.11332051204804751
Candidate: 0xca, Correlation: -0.11160859897313985
Candidate: 0xd2, Correlation: -0.10681820242750863
Candidate: 0x2c, Correlation: -0.10311486410932238
Candidate: 0xce, Correlation: -0.10231956874951625
Candidate: 0x28, Correlation: -0.10162953650899514
