Candidate: 0x2f, Correlation: -0.04772274400943157
Candidate: 0xdf, Correlation: -0.04768762128000609
Candidate: 0x0, Correlation: -0.04753467989411133
Candidate: 0xfb, Correlation: -0.04736828479249009
Candidate: 0x20, Correlation: -0.04727462355207242
Candidate: 0x2c, Correlation: -0.0472484396397705
Candidate: 0x54, Correlation: -0.04722686014350042
Candidate: 0xf, Correlation: -0.04707415483241764
Candidate: 0x74, Correlation: -0.04705006034953933
Candidate: 0xc0, Correlation: -0.04689871126799499
Candidate: 0x44, Correlation: -0.04676371996549919
Candidate: 0x5, Correlation: -0.04670461562674074
Candidate: 0xe3, Correlation: -0.046470264452989636
Candidate: 0xa8, Correlation: -0.04603207431925427
Candidate: 0xac, Correlation: -0.04600863503036591
Candidate: 0x1b, Correlation: -0.04587778280364476
Candidate: 0xb4, Correlation: -0.04580792721205145
Candidate: 0x50, Correlation: -0.045695862322676604
Candidate: 0x40, Correlation: -0.04519792693356965
Candidate: 0x17, Correlation: -0.04508546813696999
Candidate: 0x24, Correlation: -0.04501777987703719
Candidate: 0x6, Correlation: -0.044455213484898705
Candidate: 0xb0, Correlation: -0.044349696261551975
Candidate: 0x90, Correlation: -0.044315684375341655
Candidate: 0xa5, Correlation: -0.04426395274307656
Candidate: 0xff, Correlation: -0.04376573581510469
