Candidate: 0x44, Correlation: -0.048331807163121715
Candidate: 0x95, Correlation: -0.0482858218331196
Candidate: 0xf4, Correlation: -0.04822814074595606
Candidate: 0x60, Correlation: -0.04818842178674035
Candidate: 0xb7, Correlation: -0.04818140738549725
Candidate: 0x30, Correlation: -0.04799482369637121
Candidate: 0x75, Correlation: -0.04790630376050615
Candidate: 0xe6, Correlation: -0.04785510448470879
Candidate: 0xd4, Correlation: -0.04775970397970478
Candidate: 0x89, Correlation: -0.04771969066190634
Candidate: 0x74, Correlation: -0.04746735457274497
Candidate: 0x94, Correlation: -0.047460883226764304
Candidate: 0x59, Correlation: -0.04745238165511705
Candidate: 0x61, Correlation: -0.04741002625090793
Candidate: 0x82, Correlation: -0.047402810159160785
Candidate: 0x90, Correlation: -0.047337316315441115
Candidate: 0x88, Correlation: -0.04698990182086523
Candidate: 0x8a, Correlation: -0.04691398301298132
Candidate: 0xd0, Correlation: -0.04690384166455392
Candidate: 0x19, Correlation: -0.04688281595852528
Candidate: 0xda, Correlation: -0.04686706372947212
Candidate: 0xd5, Correlation: -0.04682596731334152
Candidate: 0xb5, Correlation: -0.046758154310134754
Candidate: 0x5c, Correlation: -0.046584238600599015
Candidate: 0x26, Correlation: -0.04619418207270106
Candidate: 0x35, Correlation: -0.04589379952149569
Candidate: 0x18, Correlation: -0.04577225375028424
Candidate: 0x1a, Correlation: -0.04575985221652003
Candidate: 0xb1, Correlation: -0.04565925892640693
Candidate: 0x64, Correlation: -0.0456062332052629
Candidate: 0xe4, Correlation: -0.04551101457740123
Candidate: 0x3a, Correlation: -0.04542568735467029
Candidate: 0x84, Correlation: -0.04522369568287472
Candidate: 0x50, Correlation: -0.04514614035962796
Candidate: 0x31, Correlation: -0.04511392320264204
Candidate: 0xd8, Correlation: -0.045080613209803264
Candidate: 0x28, Correlation: -0.04483746220731591
Candidate: 0x67, Correlation: -0.044537168425645805
Candidate: 0xfa, Correlation: -0.04443421577821577
Candidate: 0x38, Correlation: -0.04433630228096976
Candidate: 0x58, Correlation: -0.0443219315052329
Candidate: 0x14, Correlation: -0.04391611351661223
Candidate: 0x8e, Correlation: -0.04281437332199785
Candidate: 0x1c, Correlation: -0.04231715830387612
Candidate: 0xd9, Correlation: -0.04188791984160483
