Candidate: 0x61, Correlation: -0.10122605409747125
Candidate: 0x27, Correlation: -0.10045917023933851
Candidate: 0xe4, Correlation: -0.10031873165567261
Candidate: 0x80, Correlation: -0.09926512373287837
Candidate: 0x20, Correlation: -0.09895229944660036
Candidate: 0xe9, Correlation: -0.09875677672846667
Candidate: 0x8, Correlation: -0.0987483591379855
Candidate: 0xa4, Correlation: -0.09820742174718483
Candidate: 0xad, Correlation: -0.09779221832671162
Candidate: 0x14, Correlation: -0.09755234290329778
Candidate: 0xb7, Correlation: -0.09725940730464329
Candidate: 0x6d, Correlation: -0.0959823697935109
Candidate: 0x60, Correlation: -0.09535315961473084
Candidate: 0x9e, Correlation: -0.0939836811126104
Candidate: 0x99, Correlation: -0.0903929674271043
Candidate: 0x9c, Correlation: -0.08990660777022587
Candidate: 0xe8, Correlation: -0.08960799932594242
Candidate: 0xa1, Correlation: -0.08861786204603853
Candidate: 0x54, Correlation: -0.08775194964250117
Candidate: 0x62, Correlation: -0.08668975173700019
Candidate: 0xc7, Correlation: -0.08585144423124111
Candidate: 0xea, Correlation: -0.08484145912188225
Candidate: 0x29, Correlation: -0.0846141312402256
Candidate: 0x8f, Correlation: -0.08426548035485953
Candidate: 0xb9, Correlation: -0.08277277676668968
Candidate: 0xec, Correlation: -0.08184676511554252
Candidate: 0xcc, Correlation: -0.08127439887787825
Candidate: 0xa9, Correlation: -0.08127176029905821
Candidate: 0xc9, Correlation: -0.08001723097566296
Candidate: 0xb5, Correlation: -0.07800833059492479
Candidate: 0xac, Correlation: -0.0763573513621416
Candidate: 0x69, Correlation: -0.07616744280100701
Candidate: 0xc8, Correlation: -0.07506336578462444
Candidate: 0xab, Correlation: -0.07489423832287997
Candidate: 0x64, Correlation: -0.07319824580522075
Candidate: 0x95, Correlation: -0.07290659994457382
Candidate: 0x90, Correlation: -0.07274187534422474
Candidate: 0x91, Correlation: -0.07151081722024069
Candidate: 0x88, Correlation: -0.06749847141065102
Candidate: 0xa7, Correlation: -0.06705008037287599
Candidate: 0xa0, Correlation: -0.06639431160048853
Candidate: 0x92, Correlation: -0.06602710197158851
Candidate: 0xa8, Correlation: -0.06281563901158393
Candidate: 0xb4, Correlation: -0.06144147086326005
Candidate: 0x6c, Correlation: -0.06053324870031828
Candidate: 0x94, Correlation: -0.05868328843302866
Candidate: 0xaa, Correlation: -0.05767157450379498
Candidate: 0x93, Correlation: -0.05613568197732558
