Candidate: 0x86, Correlation: -0.07976974188492668
Candidate: 0x48, Correlation: -0.07939474131380696
Candidate: 0x98, Correlation: -0.07912770736253119
Candidate: 0x46, Correlation: -0.07816275887439063
Candidate: 0xca, Correlation: -0.0777457778166642
Candidate: 0xe0, Correlation: -0.07766806661157115
Candidate: 0x8c, Correlation: -0.07501835341834821
Candidate: 0x9d, Correlation: -0.07469665116407506
Candidate: 0x1a, Correlation: -0.07432397273522226
Candidate: 0x88, Correlation: -0.07393817588163852
Candidate: 0x32, Correlation: -0.07229930534195003
Candidate: 0x66, Correlation: -0.07179472457319372
Candidate: 0xd2, Correlation: -0.07165728337012493
Candidate: 0xc2, Correlation: -0.07139880587425199
Candidate: 0xc8, Correlation: -0.07081707745130483
Candidate: 0x7c, Correlation: -0.06826375777462064
Candidate: 0x9e, Correlation: -0.06493976580009474
Candidate: 0x52, Correlation: -0.06313069013013502
Candidate: 0xdc, Correlation: -0.06171583817409055
Candidate: 0x9a, Correlation: -0.061281540911632286
Candidate: 0xd8, Correlation: -0.061135607146653934
Candidate: 0xac, Correlation: -0.05851142928228632
Candidate: 0x6c, Correlation: -0.05653414656666965
Candidate: 0x58, Correlation: -0.05627786762625645
Candidate: 0x56, Correlation: -0.05520314740794386
Candidate: 0x64, Correlation: -0.05499180116791297
Candidate: 0x3a, Correlation: -0.0544210513265103
Candidate: 0xba, Correlation: -0.05314336266485256
Candidate: 0x7a, Correlation: -0.0522546202282087
Candidate: 0x4c, Correlation: -0.05193339263061101
Candidate: 0xb2, Correlation: -0.05159919973726582
Candidate: 0x8a, Correlation: -0.05123682939992141
Candidate: 0x5e, Correlation: -0.05095456017163542
Candidate: 0x4a, Correlation: -0.05066671702472989
Candidate: 0x62, Correlation: -0.049404294358349796
Candidate: 0x74, Correlation: -0.04940060513793105
Candidate: 0xcc, Correlation: -0.04935797677429479
Candidate: 0x78, Correlation: -0.049024008706550715
Candidate: 0xb8, Correlation: -0.04797961507930296
Candidate: 0x82, Correlation: -0.04671719730643576
Candidate: 0x38, Correlation: -0.046037978993827035
Candidate: 0x5a, Correlation: -0.04600916334500551
Candidate: 0x2c, Correlation: -0.042769964651649714
Candidate: 0x70, Correlation: -0.042044803327597816
Candidate: 0x72, Correlation: -0.036776655510867416
