Candidate: 0x92, Correlation: -0.06824793381321065
Candidate: 0x99, Correlation: -0.06781672201538815
Candidate: 0xd0, Correlation: -0.06544672965798215
Candidate: 0x26, Correlation: -0.06523717238618953
Candidate: 0xa2, Correlation: -0.0626071094431937
Candidate: 0xc8, Correlation: -0.06248448900269884
Candidate: 0xc2, Correlation: -0.06118869231685893
Candidate: 0x6a, Correlation: -0.06075684511243938
Candidate: 0xc9, Correlation: -0.055370435506947716
Candidate: 0xee, Correlation: -0.05531811435735785
Candidate: 0xa8, Correlation: -0.047987622449467734
