Candidate: 0x2, Correlation: -0.09858619111856415
Candidate: 0x2d, Correlation: -0.09710341327789938
Candidate: 0x8a, Correlation: -0.0956916735512058
Candidate: 0x14, Correlation: -0.09482286831306534
Candidate: 0x44, Correlation: -0.09454184347815178
Candidate: 0x3d, Correlation: -0.09279346537824483
Candidate: 0x32, Correlation: -0.09242515482421793
Candidate: 0x12, Correlation: -0.0916317181032188
Candidate: 0xb5, Correlation: -0.09157574395821114
Candidate: 0x4d, Correlation: -0.0885186754312851
Candidate: 0xa, Correlation: -0.08546097614038325
Candidate: 0x4a, Correlation: -0.08480368662337355
Candidate: 0x51, Correlation: -0.08458527213753074
Candidate: 0x41, Correlation: -0.08449249923010034
Candidate: 0xaa, Correlation: -0.0843960121913687
Candidate: 0xb4, Correlation: -0.08237015749361906
Candidate: 0xed, Correlation: -0.08138124863909499
Candidate: 0x4c, Correlation: -0.0766609581916666
Candidate: 0x55, Correlation: -0.07640815150022354
Candidate: 0xea, Correlation: -0.07508265846374726
Candidate: 0x35, Correlation: -0.07501795469826071
Candidate: 0xad, Correlation: -0.07425359326331274
Candidate: 0xc, Correlation: -0.06539960641023432
Candidate: 0x49, Correlation: -0.06440958132452321
